Battery_Type,Scenario,Runtime_Days,Runtime_Hours,Average_Current_mA,Temperature_C,Energy_per_Detection_Wh,Detections_per_Wh,Power_Sleep_mA,Power_Idle_mA,Power_Active_mA,Power_Camera_mA,Power_Inference_mA,Power_Transitions_mA
CR123A Lithium,Continuous Monitoring,1.0416666666666667,25.0,59.05,25.0,0.00015,6666.666666666667,0.05,2.0,24.0,8.0,20.0,5.0
CR123A Lithium,Frequent Detection,7.458333333333333,179.0,8.158333333333333,25.0,0.002094972067039106,477.3333333333333,0.425,0.5,4.0,1.2,2.0,0.03333333333333333
CR123A Lithium,Moderate Detection,14.208333333333334,341.0,4.271111111111111,25.0,0.0032991202346041057,303.1111111111111,0.46,0.3,2.4,0.6,0.5,0.011111111111111112
CR123A Lithium,Rare Detection,45.5,1092.0,1.3327777777777776,25.0,0.004120879120879121,242.66666666666666,0.49,0.1,0.5599999999999999,0.08,0.1,0.002777777777777778
CR123A Lithium,Battery Saver,89.91666666666667,2158.0,0.6739583333333333,25.0,0.013032900834105653,76.72888888888889,0.4975,0.03,0.12,0.016,0.01,0.0004583333333333334
18650 Li-Ion,Continuous Monitoring,2.375,57.0,59.05,25.0,0.00018391812865497077,5437.201907790143,0.05,2.0,24.0,8.0,20.0,5.0
18650 Li-Ion,Frequent Detection,16.958333333333332,407.0,8.158333333333333,25.0,0.002575757575757576,388.2352941176471,0.425,0.5,4.0,1.2,2.0,0.03333333333333333
18650 Li-Ion,Moderate Detection,32.375,777.0,4.271111111111111,25.0,0.004047619047619047,247.05882352941177,0.46,0.3,2.4,0.6,0.5,0.011111111111111112
18650 Li-Ion,Rare Detection,103.70833333333333,2489.0,1.3327777777777776,25.0,0.005054238650060265,197.8537360890302,0.49,0.1,0.5599999999999999,0.08,0.1,0.002777777777777778
18650 Li-Ion,Battery Saver,205.04166666666666,4921.0,0.6739583333333333,25.0,0.015977443609022556,62.588235294117645,0.4975,0.03,0.12,0.016,0.01,0.0004583333333333334
AA Alkaline,Continuous Monitoring,1.7083333333333333,41.0,59.05,25.0,7.621951219512195e-05,13120.0,0.05,2.0,24.0,8.0,20.0,5.0
AA Alkaline,Frequent Detection,12.25,294.0,8.158333333333333,25.0,0.0010629251700680273,940.8,0.425,0.5,4.0,1.2,2.0,0.03333333333333333
AA Alkaline,Moderate Detection,23.375,561.0,4.271111111111111,25.0,0.0016711229946524064,598.4,0.46,0.3,2.4,0.6,0.5,0.011111111111111112
AA Alkaline,Rare Detection,74.875,1797.0,1.3327777777777776,25.0,0.002086811352253756,479.2,0.49,0.1,0.5599999999999999,0.08,0.1,0.002777777777777778
AA Alkaline,Battery Saver,148.08333333333334,3554.0,0.6739583333333333,25.0,0.0065946820483961735,151.63733333333332,0.4975,0.03,0.12,0.016,0.01,0.0004583333333333334
LiPo 500mAh,Continuous Monitoring,0.375,9.0,59.05,25.0,0.00017129629629629632,5837.8378378378375,0.05,2.0,24.0,8.0,20.0,5.0
LiPo 500mAh,Frequent Detection,2.5,60.0,8.158333333333333,25.0,0.0025694444444444445,389.18918918918916,0.425,0.5,4.0,1.2,2.0,0.03333333333333333
LiPo 500mAh,Moderate Detection,4.75,114.0,4.271111111111111,25.0,0.00405701754385965,246.48648648648648,0.46,0.3,2.4,0.6,0.5,0.011111111111111112
LiPo 500mAh,Rare Detection,15.208333333333334,365.0,1.3327777777777776,25.0,0.005068493150684932,197.2972972972973,0.49,0.1,0.5599999999999999,0.08,0.1,0.002777777777777778
LiPo 500mAh,Battery Saver,30.083333333333332,722.0,0.6739583333333333,25.0,0.01601454293628809,62.44324324324324,0.4975,0.03,0.12,0.016,0.01,0.0004583333333333334
