model_name,accuracy,f1_score,params_count,model_size_kb,int8_size_kb,inference_time_ms,estimated_rp2040_time_ms,ram_usage_kb,depth_multiplier,num_blocks,initial_channels,use_separable,use_gpool,training_time_s,best_epoch
micro_d0.75_b2_ch8_sep_gpool,25.0,0.13333333333333333,414,1.81640625,0.4541015625,0.8235502243041992,8.235502243041992,76.5087890625,0.75,2,8,True,True,5.0522706508636475,1
micro_d0.75_b2_ch16_sep_gpool,25.0,0.10714285714285714,966,4.16015625,1.0400390625,1.1677837371826172,11.677837371826172,153.1259765625,0.75,2,16,True,True,3.6987030506134033,1
micro_d0.75_b3_ch8_sep_gpool,0.0,0.0,954,4.21484375,1.0537109375,1.6427898406982422,16.42789840698242,93.2333984375,0.75,3,8,True,True,4.764049768447876,0
micro_d0.75_b3_ch16_sep_gpool,0.0,0.0,2622,11.19921875,2.7998046875,2.0389556884765625,20.389556884765625,187.1357421875,0.75,3,16,True,True,6.1120688915252686,1
micro_d1.0_b2_ch8_sep_gpool,0.0,0.0,582,2.53515625,0.6337890625,1.2076425552368164,12.076425552368166,102.0322265625,1.0,2,8,True,True,5.980987310409546,0
micro_d1.0_b2_ch16_sep_gpool,0.0,0.0,1414,6.03515625,1.5087890625,1.2920713424682617,12.920713424682617,204.2822265625,1.0,2,16,True,True,4.9180426597595215,0
micro_d1.0_b3_ch8_sep_gpool,0.0,0.0,1430,6.23046875,1.5576171875,1.0081911087036133,10.081911087036133,124.4560546875,1.0,3,8,True,True,5.879831314086914,1
micro_d1.0_b3_ch16_sep_gpool,8.333333333333332,0.125,4134,17.41796875,4.3544921875,1.529841423034668,15.29841423034668,250.1279296875,1.0,3,16,True,True,6.3096067905426025,1
micro_d1.25_b2_ch8_sep_gpool,0.0,0.0,766,3.31640625,0.8291015625,1.2537765502929688,12.53776550292969,127.5712890625,1.25,2,8,True,True,5.791906356811523,0
micro_d1.25_b2_ch16_sep_gpool,0.0,0.0,1926,8.16015625,2.0400390625,0.656733512878418,6.56733512878418,255.5009765625,1.25,2,16,True,True,6.140532493591309,1
micro_d1.25_b3_ch8_sep_gpool,8.333333333333332,0.045454545454545456,1986,8.55859375,2.1396484375,1.504044532775879,15.040445327758789,155.7568359375,1.25,3,8,True,True,6.451359272003174,0
micro_d1.25_b3_ch16_sep_gpool,0.0,0.0,5966,24.88671875,6.2216796875,1.2312602996826172,12.31260299682617,313.4326171875,1.25,3,16,True,True,5.764187812805176,0
